"ID";"zh"
"TutorialHotspot.tooltip.text";""
"TutorialHotspot.tooltip.text:alt";"path: {ui.tooltip_obj_path:#}{p}hotspot def: [{ui.main_tooltip.tutorial_hotspot_def_id:#}|null]{p}tooltip def: [{ui.main_tooltip.tooltip_def_id:#}|null]{p}obj: [{ui.main_tooltip.OBJ}|null]{p}vars: [{p}{ui.tooltip_vars_dump}|null]"
"list_separator";"，"
"list_final_separator";"和"
"list_final_separator_or";"或"
"piety_icon";"信仰"
"Battle.caption.OpenField";"{realm}附近的戰鬥"
"Battle.caption.Plunder";"{realm}內部的掠奪"
"Battle.caption.PlunderInterrupt";"{realm}內部的掠奪"
"Battle.caption.Siege";"{realm}受到的圍攻"
"Battle.caption.Assault";"受到{realm}的突擊"
"Battle.caption.BreakSiege";"{realm}的突圍"
"Battle.caption.Naval";"{realm}發生的海戰"
"Battle.caption.SiegeAlt";"{realm}附近的圍攻"
"Battle.caption.BreakSiegeAlt";"{realm}附近的突圍"
"Battle.caption.FreeLand";"自由地帶發生的戰鬥"
"Battle.squad_window_stats";"[{is_noble:if_not}{is_siege_eq:if_not}等級：{level}[{unit_is_militia:if}（農民無法從戰鬥中升級）]{p}]人力：{health}/{max_health}[（{size_bonus:bonus}）]{p}[{is_siege_eq:if_not}士氣：{morale:F1}/{initial_morale}{p}][體力：{stamina}/{stamina_max}{p}]移動速度：{move_speed}[（{move_speed_bonus:bonus}）]{p}{p}近戰攻擊：{CTH}[（{CTH_bonus:bonus}）]{p}[{is_cavalry:if}踐踏機率：{trample_chance}{p}][{is_ranged:if}{p}][{is_ranged:if}遠端攻擊：{CTH_ranged}[（{CTH_ranged_bonus:bonus}）]{p}][{is_ranged:if}攻擊範圍：{max_shoot_range}{p}][{is_ranged:if}射擊間隔：{shoot_interval}{p}][{is_ranged:if}齊射彈藥：{salvos}/{def.salvo_capacity}[（{salvo_capacity_bonus:bonus}）]{p}]{p}防禦（近戰）：{defense}[（{defense_bonus:bonus}）]{p}防禦（遠端）：{defense_against_ranged}[（{defense_against_ranged_bonus:bonus}）]{p}{p}造成衝擊的概率：{chance_to_shock_base}[（{chance_to_shock_bonus:bonus}）]{p}韌性：[{resilience_base}|{resilience}|0][（{resilience_bonus:bonus}）]{p}{p}[對騎兵攻擊：{Unit.CTH_cavalry_mod_effect:bonus:nonzero:%}{p}]"
"Battle.victory_text";"敵軍已被擊敗"
"Battle.defeat_text";"你的軍隊被擊敗了"
"Battle.cancel_text";"戰鬥取消"
"SquadState.Idle";"守住陣地"
"SquadState.Attacking";"攻擊"
"SquadState.Moving";"前進"
"SquadState.Charging";"衝鋒"
"SquadState.Shooting";"瞄準射擊"
"SquadState.Disengaging";"脫離戰鬥"
"SquadState.Retreating";"撤退"
"SquadState.Fled";"潰逃"
"SquadState.Dead";"死亡"
"Diplomacy.Greeting.Neutral";"你好啊，{plr_kingdom.king}！今天怎麼有興趣來這裡？"
"Diplomacy.Greeting.Neutral#2";"歡迎，{plr_kingdom.king}！你過來是準備討論些什麼？"
"Diplomacy.Greeting.Neutral#3";"日安，{plr_kingdom.king}！你打算來這邊談什麼？"
"Diplomacy.Greeting.Neutral#4";"真是稀客啊，{plr_kingdom.king}！你想跟我們聊什麼？"
"Diplomacy.Greeting.Neutral#5";"向你致敬，{plr_kingdom.king}的{plr_kingdom}！你能過來真是太好了。我們有許多事情需要談。"
"Diplomacy.Greeting.Strong";"你來此有何用意，{plr_kingdom.king}？"
"Diplomacy.Greeting.Strong#2";"請抓緊時間，{kingdom.king}今天非常忙。"
"Diplomacy.Greeting.Strong#3";"你有什麼我們感興趣的提議嗎，{plr_kingdom.king}的{plr_kingdom}？"
"Diplomacy.Greeting.Strong#4";"請暢所欲言，{plr_kingdom.king}。我們洗耳恭聽。"
"Diplomacy.Greeting.Strong#5";"歡迎，{plr_kingdom.king}。哪陣風把你給吹到{kingdom}來了？"
"Diplomacy.Greeting.Weak";"你好啊，{plr_kingdom.king}！我們能為你做些什麼？"
"Diplomacy.Greeting.Weak#2";"歡迎，{plr_kingdom.king}。我們可以如何為你效勞？"
"Diplomacy.Greeting.Weak#3";"感謝你的駕臨，{plr_kingdom.king}。有什麼可以效勞的嗎？"
"Diplomacy.Greeting.Weak#4";"非常高興見到你，{plr_kingdom.king}！此次前來，有何貴幹？"
"Diplomacy.Greeting.Weak#5";"歡迎，{plr_kingdom.king}！哪陣風把你吹來{kingdom}了？"
"Diplomacy.Greeting.OurPrisoner.Neutral";"希望我們的談話不要令人難以忍受，至少別比你們這可怕監獄的飯菜還糟。"
"Diplomacy.Greeting.OurPrisoner.Neutral#2";"如果你把我從這個糟糕的牢房裡釋放出來，我保證能跟你達成協議。"
"Diplomacy.Greeting.OurPrisoner.Neutral#3";"我們非得在這麼一個髒得要死的監牢里談嗎？"
"Diplomacy.Greeting.OurPrisoner.Strong";"如果你覺得這些銬住我的鎖鏈能多給你點勝算，那你就大錯特錯了！"
"Diplomacy.Greeting.OurPrisoner.Strong#2";"把你的臟手拿開，不然我們沒得聊。"
