"*";"base"
"Title.copyright";"Knights of Honor 2: Sovereign (c) 2016-2022 THQ Nordic GmbH. Developed by Black Sea Games Ltd. All rights reserved."
"Title.loading_progress.manifest";"安置所有創造物"
"Title.loading_progress.bundles_loaded";"一切就緒"
"Title.loading_progress.battleview";"準備戰場"
"Title.loading_progress.europe";"準備廣袤的歐洲土地中"
"Title.loading_progress.maps_battleview";"準備史詩戰鬥中的城池和地域"
"Title.loading_progress.maps_europe";"建立歐洲地圖"
"Title.loading_progress.maps_test";"準備有著隱藏寶藏的地圖"
"Title.loading_progress.misc";"引入非法商品"
"Title.loading_progress.settlements";"建立壯觀的定居點"
"Title.loading_progress.ui";"安置民眾"
"Title.loading_progress.units";"招募勇猛的軍隊"
"Title.loading_progress.voice";"寫下充滿激情的演說稿"
"Title.loading_progress.test";"再次檢查所有王國的發展計劃"
