"*";"base";"s"
"default";"";"{base}'s"
"cn__Alaq.m";"'阿拉克";""
"cn_al_Kamil.m";"卡米爾";""
"cn_Aaron.m";"亞倫";""
"cn_Abaji.m";"阿巴吉";""
"cn_Abane.m";"阿巴尼";""
"cn_Abaqa.m";"阿巴哈";""
"cn_Abas.m";"阿巴斯";""
"cn_Abatai.m";"阿巴泰";""
"cn_Abbad.m";"阿巴德";""
"cn_Abbas.m";"阿霸斯";""
"cn_Abdallah.m";"阿卜道拉";""
"cn_Abdelhafid.m";"阿卜杜勒哈菲德";""
"cn_Abdelkader.m";"阿卜杜勒卡德爾";""
"cn_Abdelkrim.m";"阿卜杜勒卡里姆";""
"cn_Abdelwahid.m";"阿卜杜勒瓦希德";""
"cn_Abderraouf.m";"阿卜杜拉夫";""
"cn_Abdeslam.m";"阿卜杜勒薩拉姆";""
"cn_Abdollah.m";"阿卜多拉";""
"cn_Abdul.m";"阿卜杜爾";""
"cn_Abdul_Wahid.m";"阿卜杜爾-瓦希德";""
"cn_Abdullah.m";"阿卜杜拉";""
"cn_Abel.m";"亞伯爾";""
"cn_Abelard.m";"亞伯拉德";""
"cn_Abgar.m";"阿伯賈";""
"cn_Abigall.f";"阿比蓋爾";""
"cn_Abika.f";"阿比卡";""
"cn_Abish.f";"阿比什";""
"cn_Abjorn.m";"阿比約恩";""
"cn_Abomelique.m";"亞伯梅利克";""
"cn_Abou.m";"亞布";""
"cn_Abraham.m";"亞伯拉罕";""
"cn_Absalon.m";"阿布薩朗";""
"cn_Absalone.m";"阿布薩朗尼";""
"cn_Abu.m";"阿布";""
"cn_Abu_Ghufayl.m";"阿布-古載里";""
"cn_Abu_l_Qasim.m";"阿布-卡西姆";""
"cn_Abubakri.m";"阿布巴克里";""
"cn_Abul.m";"阿布爾";""
"cn_Abul_Fath.m";"阿布爾-法斯";""
"cn_Abulasan.m";"阿布爾拉岑";""
"cn_Abusahl.m";"阿布薩哈";""
"cn_Abusahl_Hamazasp.m";"阿布薩哈-哈馬紮斯普";""
"cn_Abuser.m";"阿布瑟爾";""
"cn_Accelena.f";"阿瑟娜";""
"cn_Ada.f";"艾達";""
"cn_Adalasia.f";"阿達拉西婭";""
"cn_Adalbero.m";"阿達爾貝羅";""
"cn_Adalbert.m";"阿達爾貝特";""
"cn_Adam.m";"亞當";""
"cn_Adame.m";"阿達梅";""
"cn_Adda.m";"阿達";""
"cn_Adela.f";"阿德菈";""
"cn_Adelaide.f";"阿德萊德";""
"cn_Adelard.m";"阿德拉德";""
"cn_Adele.f";"阿德勒";""
"cn_Adelheid.f";"阿德爾海德";""
"cn_Adeline.f";"艾德琳";""
"cn_Adeliza.f";"阿德里西婭";""
"cn_Adelman.m";"阿德爾曼";""
"cn_Ademar.m";"阿德馬爾";""
"cn_Adhamh.m";"阿達姆";""
"cn_Adil.f";"艾迪爾";""
"cn_Adil.m";"阿迪爾";""
"cn_Adles.f";"阿德勒斯";""
"cn_Adolf.m";"阿多夫";""
"cn_Adolfadl.m";"阿多夫阿德爾";""
"cn_Adolfo.m";"阿多弗";""
"cn_Adrian.m";"亞德里安";""
"cn_Adriana.f";"亞德里娜";""
"cn_Adrianos.m";"亞德里安諾斯";""
"cn_Adrianus.m";"亞德里安努斯";""
"cn_Adulfo.m";"阿杜夫";""
"cn_Aed.m";"埃德";""
"cn_Aedan.m";"埃丹";""
"cn_Aeddan.m";"埃迪安";""
"cn_Aedh.m";"埃德赫";""
"cn_Aelred.m";"埃爾雷德";""
"cn_Aemar.m";"埃馬爾";""
"cn_Aenor.f";"艾諾爾";""
"cn_Aernout.m";"埃爾諾";""
"cn_Aeshine.f";"艾塞恩";""
"cn_Afanasy.m";"阿法納西";""
"cn_Affreca.f";"阿芙蕾卡";""
"cn_Affrica.f";"阿芙莉卡";""
"cn_Afiya.f";"艾菲亞";""
"cn_Afridun.m";"阿弗里頓";""
"cn_Afshin.m";"阿夫辛";""
"cn_Agafia.f";"阿加菲婭";""
"cn_Agata.f";"阿加塔";""
"cn_Agatha.f";"阿加莎";""
"cn_Agathe.f";"阿加瑟";""
"cn_Agbua.m";"阿加巴";""
"cn_Aggeron.m";"亞加倫";""
"cn_Aghbugha.m";"阿加布格哈";""
"cn_Aghsartan.m";"阿加薩爾坦";""
