"*";"base";"ian";"s";"anian";"ians"
"default";"";"{base}";"{base}'s";"a {ian}";"{base}"
"tn_Aarhus";"奧胡斯";"奧胡斯人";"奧胡斯的";"一個奧胡斯人";"奧胡斯人"
"tn_Abauj";"奧包烏伊";"奧包烏伊人";"奧包烏伊的";"一個奧包烏伊人";"奧包烏伊人"
"tn_Abbasids";"阿巴斯";"阿巴斯人";"阿巴斯的";"一個阿巴斯人";"阿巴斯"
"tn_Aberdeen";"阿伯丁";"阿伯丁人";"阿伯丁的";"一個阿伯丁人";"阿伯丁人"
"tn_Aberdeenshire";"阿伯丁郡";"阿伯丁郡人";"阿伯丁郡的";"一個阿伯丁郡人";"阿伯丁郡人"
"tn_Achaea";"亞加亞";"亞加亞人";"亞加亞的";"一個亞加亞人";"亞加亞人"
"tn_Acre";"阿卡";"阿卡人";"阿卡的";"一個阿卡人";"阿卡人"
"tn_Adiyaman";"阿德亞曼";"阿德亞曼人";"阿德亞曼的";"一個阿德亞曼人";"阿德亞曼人"
"tn_Aden";"亞丁";"亞丁人";"亞丁的";"一個亞丁人";"亞丁人"
"tn_Adrar";"阿德拉爾";"阿德拉爾人";"阿德拉爾的";"一個阿德拉爾人";"阿德拉爾人"
"tn_Adrianople";"亞德里亞堡";"亞德里亞堡人";"亞德里亞堡的";"一個亞德里亞堡人";"亞德里亞堡人"
"tn_Adriatic_Sea";"亞得里亞海";"";"";"";""
"tn_Aegaean_Sea";"愛琴海";"";"";"";""
"tn_Agder";"阿德格爾";"阿德格爾人";"阿德格爾的";"一個阿德格爾人";"阿德格爾人"
"tn_Agnafit";"阿格納菲特";"阿格納菲特人";"阿格納菲特的";"一個阿格納菲特人";"阿格納菲特人"
"tn_Air";"埃爾";"埃爾人";"埃爾的";"一個埃爾人";"埃爾人"
"tn_Ajaccio";"阿雅克肖";"阿雅克肖人";"阿雅克肖的";"一個阿雅克肖人";"阿雅克肖人"
"tn_Al_Baretoun";"阿爾巴瑞頓";"阿爾巴瑞頓人";"阿爾巴瑞頓的";"一個阿爾巴瑞頓人";"阿爾巴瑞頓人"
"tn_Al_Duwadimi";"阿爾杜瓦迪米";"阿爾杜瓦迪米人";"阿爾杜瓦迪米的";"一個阿爾杜瓦迪米人";"阿爾杜瓦迪米人"
"tn_Al_Halab";"阿爾哈拉卜";"阿爾哈拉卜人";"阿爾哈拉卜的";"一個阿爾哈拉卜人";"阿爾哈拉卜人"
"tn_Al_Jadid";"阿爾賈迪德";"阿爾賈迪德人";"阿爾賈迪德的";"一個阿爾賈迪德人";"阿爾賈迪德人"
"tn_Al_Jazair";"阿爾及利亞";"阿爾及利亞人";"阿爾及利亞的";"一個阿爾及利亞人";"阿爾及利亞人"
